tool,sample_id,identity_threshold,nthresh,ntriage,rejection_threshold,strategy,total_reads,correct,incorrect,unassigned,assignment_rate,precision,recall,accuracy,f1_score,barcode_count,barcode_length,threshold,tool_key,assigned,total_processed
Columba,Columba_42K_36nt_I79,,,,,,200000.0,85045.0,3837.0,111118.0,44.441,95.683,42.5225,42.5225,58.8787040674937,42000,36,79.0,columba,,200000.0
Columba,Columba_42K_36nt_I80,,,,,,200000.0,85001.0,3867.0,111132.0,44.434,95.6486,42.5005,42.5005,58.851101082815596,42000,36,80.0,columba,,200000.0
Columba,Columba_42K_36nt_I81,,,,,,200000.0,62542.0,3231.0,134227.0,32.8865,95.0876,31.271,31.271,47.06421786249611,42000,36,81.0,columba,,200000.0
Columba,Columba_42K_36nt_I82,,,,,,200000.0,62536.0,3214.0,134250.0,32.875,95.1118,31.268,31.268,47.06378333246294,42000,36,82.0,columba,,200000.0
Columba,Columba_85K_28nt_I77,,,,,,200000.0,103877.0,25207.0,70916.0,64.542,80.4724,51.9385,51.9385,63.13099219777223,85000,28,77.0,columba,,200000.0
Columba,Columba_85K_28nt_I78,,,,,,200000.0,103876.0,25210.0,70914.0,64.543,80.4704,51.938,51.938,63.1300073892593,85000,28,78.0,columba,,200000.0
Columba,Columba_85K_28nt_I79,,,,,,200000.0,76517.0,7505.0,115978.0,42.011,91.0678,38.2585,38.2585,53.881034658843554,85000,28,79.0,columba,,200000.0
Columba,Columba_85K_28nt_I80,,,,,,200000.0,76517.0,7474.0,116009.0,41.9955,91.1014,38.2585,38.2585,53.886914134905794,85000,28,80.0,columba,,200000.0
Columba,Columba_85K_28nt_I81,,,,,,200000.0,76524.0,7514.0,115962.0,42.019,91.0588,38.262,38.262,53.88292997878144,85000,28,81.0,columba,,200000.0
Columba,Columba_85K_28nt_I82,,,,,,200000.0,76524.0,7499.0,115977.0,42.0115,91.0751,38.262,38.262,53.88578337074204,85000,28,82.0,columba,,200000.0
Columba,Columba_85K_36nt_I77,,,,,,200000.0,108253.0,9247.0,82500.0,58.75,92.1302,54.1265,54.1265,68.19086264492499,85000,36,77.0,columba,,200000.0
Columba,Columba_85K_36nt_I78,,,,,,200000.0,82142.0,7269.0,110589.0,44.7055,91.8701,41.071,41.071,56.7649414229309,85000,36,78.0,columba,,200000.0
Columba,Columba_85K_36nt_I79,,,,,,200000.0,82116.0,7293.0,110591.0,44.7045,91.8431,41.058,41.058,56.74737078624631,85000,36,79.0,columba,,200000.0
Columba,Columba_85K_36nt_I80,,,,,,200000.0,82124.0,7343.0,110533.0,44.7335,91.7925,41.062,41.062,56.741527535762806,85000,36,80.0,columba,,200000.0
Columba,Columba_85K_36nt_I81,,,,,,200000.0,60333.0,6251.0,133416.0,33.292,90.6119,30.1665,30.1665,45.26378692464878,85000,36,81.0,columba,,200000.0
Columba,Columba_85K_36nt_I82,,,,,,200000.0,60334.0,6222.0,133444.0,33.278,90.6515,30.167,30.167,45.26928906583015,85000,36,82.0,columba,,200000.0
